5. Bienes Inmuebles según uso por barrio. 2024;;;;;;;
;;;;;;;
;Total;Residencial;Almacén / Aparcamiento;Comercial;Oficinas;Industrial;Resto
València;699571;418232;225441;34856;7553;4847;8642
1. Ciutat Vella;;;;;;;
1. la Seu;3660;2159;909;400;79;6;107
2. la Xerea;5657;2727;1908;477;391;17;137
3. el Carme;6985;4233;1809;516;62;93;272
4. el Pilar;5104;2859;1610;349;118;21;147
5. el Mercat;5377;2954;1611;584;75;44;109
6. Sant Francesc;9975;4521;2880;1135;1321;18;100
2. l'Eixample;;;;;;;
1. Russafa;24517;14444;7632;1898;174;143;226
2. el Pla del Remei;9721;4247;4241;628;510;12;83
3. la Gran Via;10035;6562;2500;783;72;54;64
3. Extramurs;;;;;;;
1. el Botànic;6422;3998;1806;398;99;33;88
2. la Roqueta;5267;3227;1307;467;179;12;75
3. la Petxina;13458;8004;4426;838;59;45;86
4. Arrancapins;21990;12577;7826;1210;247;49;81
4. Campanar;;;;;;;
1. Campanar;10489;5737;3725;775;120;43;89
2. les Tendetes;4064;2730;1109;174;6;7;38
3. el Calvari;3523;2671;594;233;7;12;6
4. Sant Pau;19850;8005;11150;420;158;43;74
5. la Saïdia;;;;;;;
1. Marxalenes;8641;5448;2504;505;28;33;123
2. Morvedre;8724;5349;2631;565;40;44;95
3. Trinitat;7105;4700;1806;478;46;17;58
4. Tormos;6365;4137;1658;417;24;77;52
5. Sant Antoni;9062;4678;3877;392;34;21;60
6. el Pla del Real;;;;;;;
1. Exposició;7099;3356;3294;245;149;17;38
2. Mestalla;15872;7899;6800;587;470;59;57
3. Jaume Roig;5255;2995;1912;233;83;11;21
4. Ciutat Universitària;2233;1469;552;110;78;3;21
7. l'Olivereta;;;;;;;
1. Nou Moles;20487;13351;5899;935;103;99;100
2. Soternes;3497;2487;797;140;12;25;36
3. Tres Forques;5052;4402;337;97;6;4;206
4. la Fontsanta;1769;1550;126;67;1;8;17
5. la Llum;3530;2277;1067;136;17;10;23
8. Patraix;;;;;;;
1. Patraix;21809;12215;8099;1068;141;198;88
2. Sant Isidre;7860;4596;2832;312;23;41;56
3. Vara de Quart;9113;4518;3420;419;573;101;82
4. el Safranar;7784;4554;2739;359;28;24;80
5. Favara;3165;1729;1180;184;7;25;40
9. Jesús;;;;;;;
1. la Raiosa;12737;7857;3960;747;55;61;57
2. l'Hort de Senabre;11896;7618;3415;692;40;52;79
3. la Creu Coberta;5082;2866;1760;298;6;52;100
4. Sant Marcel·lí;7122;4801;1861;381;5;15;59
5. Camí Real;3098;1874;945;109;3;37;130
10. Quatre Carreres;;;;;;;
1. Montolivet;14628;9772;3922;687;76;93;78
2. en Corts;8882;6045;2198;387;51;93;108
3. Malilla;19586;11365;7079;561;49;137;395
4. la Fonteta de Sant Lluís;2137;1465;447;84;9;45;87
5. na Rovella;3927;3267;492;86;17;27;38
6. la Punta;3906;2077;1369;60;16;150;234
7. Ciutat de les Arts i de les Ciències;10447;4489;5509;233;175;5;36
11. Poblats Marítims;;;;;;;
1. el Grau;8489;4810;2935;353;213;75;103
2. el Cabanyal-el Canyamelar;16195;11785;2633;783;112;342;540
3. la Malva-rosa;8959;6864;1529;365;10;38;153
4. Beteró;5896;3818;1755;228;6;13;76
5. Natzaret;3962;3052;392;183;10;126;199
12. Camins Al Grau;;;;;;;
1. Aiora;19970;11969;6582;1130;113;93;83
2. Albors;7532;4595;2396;422;36;37;46
3. la Creu del Grau;11341;7132;3600;464;39;31;75
4. Camí Fondo;3719;2287;1220;138;32;14;28
5. Penya-roja;14028;6110;7478;302;80;8;50
13. Algirós;;;;;;;
1. l'Illa Perduda;6407;4196;1802;372;14;9;14
2. Ciutat Jardí;11740;7177;3831;643;38;14;37
3. l'Amistat;5911;4024;1427;386;35;15;24
4. la Bega Baixa;6085;3261;2450;307;39;7;21
5. la Carrasca;3252;1902;1110;144;18;6;72
14. Benimaclet;;;;;;;
1. Benimaclet;20702;12933;6042;1480;113;64;70
2. Camí de Vera;4600;2496;1748;208;12;12;124
15. Rascanya;;;;;;;
1. Orriols;10496;7649;2156;468;30;80;113
2. Torrefiel;18843;11723;5844;865;78;177;156
3. Sant Llorenç;11216;4912;5790;257;159;25;73
16. Benicalap;;;;;;;
1. Benicalap;35035;19608;13490;1270;115;194;358
2. Ciutat Fallera;3456;2596;467;147;8;112;126
17. Pobles del Nord;;;;;;;
1. Benifaraig;869;534;233;33;0;21;48
2. Poble Nou;654;500;43;5;5;64;37
3. Carpesa;831;601;122;17;6;31;54
4. les Cases de Bàrcena;309;239;19;13;4;22;12
5. Mauella;82;71;5;0;0;3;3
6. Massarrojos;1489;1214;169;5;1;22;78
7. Borbotó;550;412;62;18;1;15;42
18. Pobles de l'Oest;;;;;;;
1. Benimàmet;9925;6573;2101;366;33;324;528
2. Beniferri;1044;509;306;58;120;14;37
19. Pobles del Sud;;;;;;;
1. el Forn d'Alcedo;1087;656;129;43;6;119;134
2. Castellar-l'Oliveral;5066;3357;1070;142;8;227;262
3. Pinedo;1867;1311;312;86;3;66;89
4. el Saler;2793;2076;642;38;3;8;26
5. el Palmar;582;422;43;13;2;55;47
6. el Perellonet;6005;4574;1209;60;0;48;114
7. la Torre;3414;2498;651;161;5;28;71
