2. Número de contratos y facturación por código postal y sector económico. 2023;;;;;;;;
;;;;;;;;
;Contratos;;;;Energía facturada;;;
;Total;Residencial;Industria;Servicios;Total;Residencial;Industria;Servicios
Total;481538;410823;6603;64112;2495085.6110000005;1034595.4940000002;86968.763;1373521.354
46001;11322;8335;349;2638;55824.065;21109.35;3032.022;31682.693
46002;5393;2917;221;2255;91276.486;9801.942;3647.443;77827.101
46003;10212;7737;263;2212;68107.418;19428.38;1869.177;46809.861
46004;7021;4877;190;1954;56464.432;15978.645;2663.697;37822.09
46005;13416;10763;228;2425;62835.274;28370.107;2598.027;31867.14
46006;31177;26804;423;3950;104052.59;61181.692;2865.904;40004.994
46007;28439;24098;392;3949;114776.933;57656.972;3129.177;53990.784
46008;19285;16251;289;2745;71537.839;37478.175;2234.908;31824.756
46009;28180;24323;367;3490;124787.613;53240.231;2151.473;69395.909
46010;15905;13778;185;1942;131970.779;35320.711;2465.965;94184.103
46011;23061;18976;334;3751;90811.924;42915.57;2813.046;45083.308
46012;9978;8938;150;890;34060.944;16654.732;1970.49;15435.722
46013;12564;11082;173;1309;163027.229;33295.978;14052.103;115679.148
46014;22185;19437;236;2512;129431.207;46009.794;7875.717;75545.696
46015;25749;22681;308;2760;153143.371;59459.437;2984.165;90699.769
46016;1726;1416;39;271;5024.563;3351.184;288.93;1384.449
46017;24746;21856;268;2622;92258.793;51038.098;2341.097;38879.598
46018;29741;26480;304;2957;99073.802;59177.738;2090.164;37805.9
46019;22418;19818;287;2313;83837.726;46333.621;3244.396;34259.709
46020;20301;17713;250;2338;68451.069;39824.899;1576.857;27049.313
46021;22438;18656;228;3554;111033.15;43980.981;3695.867;63356.302
46022;30126;25596;271;4259;149372.595;60058.654;2579.598;86734.343
46023;18248;16091;183;1974;122295.289;46542.716;4910.701;70841.872
46024;7426;6321;135;970;111989.454;16157.779;1232.835;94598.84
46025;20051;17837;233;1981;66181.608;43082.522;1711.66;21387.426
46026;11392;10184;151;1057;93543.523;68092.148;6299.379;19151.996
46035;7418;6427;109;882;34479.745;15030.452;338.627;19110.666
46112;1269;1163;20;86;4444.495;3461.815;254.86;727.82
46131;282;212;13;57;865.362;470.235;40.535;354.592
46135;56;56;0;0;90.936;90.936;0;0
No consta;13;0;4;9;35.397;0;9.943;25.454
