2. Número y superficie de las zonas verdes de gestión municipal. Distritos. 2023;;
;;
;Número;Superficie
València;756;3926403
1. Ciutat Vella;45;73034
2. l'Eixample;16;156667
3. Extramurs;27;59363
4. Campanar;58;372128
5. la Saïdia;37;311127
6. el Pla del Real;33;212387
7. l'Olivereta;41;222473
8. Patraix;39;221396
9. Jesús;41;175379
10. Quatre Carreres;80;578535
11. Poblats Marítims;67;401607
12. Camins al Grau;45;209492
13. Algirós;48;210533
14. Benimaclet;26;65734
15. Rascanya;39;193934
16. Benicalap;43;230112
17. Pobles del Nord;22;102880
18. Pobles de l'Oest;9;29352
19. Pobles del Sud;40;100270
