1. Abonados y facturación de gas natural por mes según tipo de instalación. 2023;;;;
;;;;
;Total;Doméstico;Comercial;Industrial
Abonados;225570;224609;882;79
Energía facturada;747380.967;488214.164;120470.686;138696.117
Enero;119624.966;84507.714;16011.9;19105.352
Febrero;127642.397;93142.535;14902.721;19597.141
Marzo;76760.03300000001;49332.317;12643.705;14784.011
Abril;48256.705;28888.015;8977.275;10391.415
Mayo;48307.31;30162.785;8093.212;10051.313
Junio;38656.369;22940.895;7518.039;8197.435
Julio;31243.728;17594.554;7103.275;6545.899
Agosto;25796.02;13963.666;5673.283;6159.071
Septiembre;34591.038;19713.244;7683.004;7194.79
Octubre;37994.021;20074.431;9462.036;8457.554
Noviembre;55707.13499999999;36028.363;7902.684;11776.088
Diciembre;102801.246;71865.645;14499.552;16436.049
Nota: Energía facturada en miles de kWh.;;;;
Fuente: Gas Natural SDG S.A.;;;;
